"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Read Data From JSON Array Object","chromium","2026-02-14","skipped","2026-02-14","","readjsondata.spec.js","",""
"","3","Handle Prompt Dialog","chromium","2026-02-14","skipped","2026-02-14","","alert1.spec.js","",""
"","0","Relative XPath: identify the Element based on sibling concept","chromium","2026-02-14","skipped","2026-02-14","","cssdemo.spec.js","",""
"","0","Third Test","chromium","2026-02-14","skipped","2026-02-14","Regression Testcases","group2.spec.js","",""
"","0","Multiple Test Data Parametrization for Login","chromium","2026-02-14","skipped","2026-02-14","","paramslogin.spec.js","",""
"","2","Relative XPath: Identify Element Based on TagName with attributeName","chromium","2026-02-14","skipped","2026-02-14","","xpathdemo.spec.js","",""
"","2","Select Items from Country Drop down without Keyboard","chromium","2026-02-14","skipped","2026-02-14","","autosuggestion.spec.js","",""
"","1","Fourth Test","chromium","2026-02-14","skipped","2026-02-14","Regression Testcases","group2.spec.js","",""
"","0","descendant","chromium","2026-02-14","skipped","2026-02-14","","xpathaxes.spec.js","",""
"","23439","Login Logout application Test","chromium","2026-02-14","passed","2026-02-14","","loginlogout.spec.js","",""
